time, damage, mv, attack, em, cr, cd, damage bonus, character, element, reaction, damage type, aoe
0.000, 1515.755, 0.806, 2263.312, 39.640, 0.692, 1.294,1.000,Fischl, Element.PHYSICAL, None, DamageType.CHARGED, False
0.990, 10544.298, 6.380, 2806.192, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.BURST, True
1.880, 7413.729, 3.360, 1593.366, 39.640, 0.692, 1.294,1.666,Xingqiu, Element.HYDRO, None, DamageType.SKILL, False
1.900, 1848.325, 1740.624, 2806.192, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, Reactions.EC, DamageType.REACTION, True
2.133, 6694.350, 1.776, 2806.192, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
2.300, 8437.530, 3.824, 1593.366, 39.640, 0.692, 1.294,1.666,Xingqiu, Element.HYDRO, None, DamageType.SKILL, False
2.400, 1848.325, 1740.624, 2806.192, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, Reactions.EC, DamageType.REACTION, True
3.133, 6694.350, 1.776, 2806.192, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
3.600, 7022.638, 2.171, 1593.366, 39.640, 0.692, 1.294,2.145,Xingqiu, Element.HYDRO, None, DamageType.BURST, False
3.650, 1133.994, 0.856, 1593.366, 39.640, 0.692, 1.294,1.000,Xingqiu, Element.PHYSICAL, None, DamageType.NORMAL, False
3.650, 1130.802, 0.300, 2806.192, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
4.000, 1848.325, 1740.624, 2806.192, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, Reactions.EC, DamageType.REACTION, True
4.133, 6694.350, 1.776, 2806.192, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
4.900, 23432.114, 8.832, 1870.969, 39.640, 0.692, 1.294,1.706,Beidou, Element.ELECTRO, None, DamageType.SKILL, False
5.133, 6694.350, 1.776, 2806.192, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
5.500, 10533.957, 3.256, 1593.366, 39.640, 0.692, 1.294,2.145,Xingqiu, Element.HYDRO, None, DamageType.BURST, False
5.783, 2031.769, 1.306, 1870.969, 39.640, 0.692, 1.294,1.000,Beidou, Element.PHYSICAL, None, DamageType.NORMAL, False
5.783, 1130.802, 0.300, 2806.192, 39.640, 0.692, 1.294,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
